100000, 5.448041, 0.109018
110000, 6.609041, 0.112091
120000, 8.001816, 0.124994
130000, 9.323963, 0.139625
140000, 11.129795, 0.147633
150000, 12.833880, 0.160369
160000, 14.529931, 0.180802
170000, 16.560357, 0.184813
180000, 18.805245, 0.194684
190000, 21.081318, 0.205799
200000, 23.199510, 0.233362
210000, 25.485551, 0.234484
220000, 27.983840, 0.240314
230000, 31.065580, 0.262813
240000, 33.642485, 0.267209
250000, 36.526924, 0.298580
260000, 39.235256, 0.297141
270000, 42.801426, 0.319472
280000, 46.349310, 0.332182
290000, 49.563585, 0.343151
