100000, 0.078243, 0.052323
110000, 0.104548, 0.088714
120000, 0.101561, 0.081190
130000, 0.108453, 0.074190
140000, 0.116144, 0.076856
150000, 0.127151, 0.089455
160000, 0.136782, 0.090190
170000, 0.145849, 0.098021
180000, 0.155761, 0.114455
190000, 0.164212, 0.111013
200000, 0.177442, 0.120947
210000, 0.186810, 0.140175
220000, 0.194888, 0.142373
230000, 0.207226, 0.230811
240000, 0.216606, 0.155606
250000, 0.226480, 0.172149
260000, 0.239319, 0.174087
270000, 0.247950, 0.181242
280000, 0.259507, 0.261704
290000, 0.269352, 0.218968
