100000, 0.066668, 0.028387
110000, 0.074688, 0.031788
120000, 0.082787, 0.036017
130000, 0.090380, 0.038996
140000, 0.098364, 0.043036
150000, 0.106269, 0.045754
160000, 0.114679, 0.071692
170000, 0.137581, 0.053391
180000, 0.130674, 0.074613
190000, 0.138333, 0.060986
200000, 0.148691, 0.071381
210000, 0.157893, 0.072417
220000, 0.165585, 0.078105
230000, 0.175632, 0.090185
240000, 0.183482, 0.093945
250000, 0.197073, 0.131442
260000, 0.211757, 0.141549
270000, 0.213352, 0.114498
280000, 0.224604, 0.137406
290000, 0.229644, 0.148345
