100000, 4.427847, 0.111519
110000, 5.525617, 0.114188
120000, 6.650837, 0.126434
130000, 7.842164, 0.137289
140000, 9.298173, 0.157624
150000, 10.524392, 0.168462
160000, 12.035524, 0.179156
170000, 13.974981, 0.185446
180000, 15.858815, 0.212585
190000, 17.750783, 0.225718
200000, 19.642614, 0.245513
210000, 21.644208, 0.288853
220000, 23.769276, 0.269964
230000, 26.100577, 0.278031
240000, 28.652128, 0.277906
250000, 30.896840, 0.292459
260000, 33.643644, 0.311897
270000, 36.718704, 0.331184
280000, 40.831900, 0.351439
290000, 42.391804, 0.400766
