100000, 0.051150, 0.028498
110000, 0.058460, 0.033033
120000, 0.061621, 0.037561
130000, 0.069866, 0.038885
140000, 0.073730, 0.042927
150000, 0.080703, 0.062726
160000, 0.086288, 0.073264
170000, 0.091893, 0.079528
180000, 0.096999, 0.057826
190000, 0.103762, 0.066193
200000, 0.110664, 0.074921
210000, 0.116786, 0.079714
220000, 0.123029, 0.086270
230000, 0.128962, 0.092612
240000, 0.135064, 0.098952
250000, 0.140916, 0.097043
260000, 0.148904, 0.113271
270000, 0.154357, 0.107907
280000, 0.160855, 0.121690
290000, 0.168067, 0.134183
