100000, 0.054177, 0.026577
110000, 0.059572, 0.029945
120000, 0.065495, 0.032191
130000, 0.071824, 0.037891
140000, 0.078694, 0.043650
150000, 0.086262, 0.044168
160000, 0.090879, 0.044950
170000, 0.097178, 0.050764
180000, 0.103209, 0.060800
190000, 0.110357, 0.066374
200000, 0.117536, 0.102354
210000, 0.125216, 0.107501
220000, 0.131329, 0.088796
230000, 0.136886, 0.080398
240000, 0.143655, 0.086100
250000, 0.150090, 0.097559
260000, 0.156960, 0.094977
270000, 0.163342, 0.106122
280000, 0.171360, 0.114813
290000, 0.178796, 0.125035
