100000, 0.049230, 0.023169
110000, 0.054884, 0.025655
120000, 0.060509, 0.036762
130000, 0.066244, 0.038922
140000, 0.071586, 0.042214
150000, 0.078821, 0.060170
160000, 0.084664, 0.071918
170000, 0.090101, 0.078740
180000, 0.095099, 0.058447
190000, 0.102194, 0.069595
200000, 0.108385, 0.071276
210000, 0.114552, 0.077825
220000, 0.121966, 0.092576
230000, 0.127435, 0.098582
240000, 0.138321, 0.109096
250000, 0.145754, 0.106893
260000, 0.150593, 0.117423
270000, 0.162232, 0.126250
280000, 0.164678, 0.141094
290000, 0.179551, 0.172110
